"","rep","dtype","optim_method","optim_model","dfe","tsigma","masked","file","tsigma_estim"
"99",9,"s","BW","OT","1",10000,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__10000_msak_mhs_masked_.csv",11663.4854416844
"100",10,"s","BW","OT","1",10000,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__10000_msak_mhs_masked_.csv",13794.6462070113
"101",1,"s","BW","OT","1",1e+05,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__1e+05_msak_mhs_.csv",70288.2390780036
"102",2,"s","BW","OT","1",1e+05,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__1e+05_msak_mhs_.csv",33852.8167371655
"103",3,"s","BW","OT","1",1e+05,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__1e+05_msak_mhs_.csv",47615.1363997987
"104",4,"s","BW","OT","1",1e+05,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__1e+05_msak_mhs_.csv",Inf
"105",5,"s","BW","OT","1",1e+05,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__1e+05_msak_mhs_.csv",63121.5807182256
"106",6,"s","BW","OT","1",1e+05,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__1e+05_msak_mhs_.csv",62831.5871885016
"107",7,"s","BW","OT","1",1e+05,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__1e+05_msak_mhs_.csv",63672.0668373781
"108",8,"s","BW","OT","1",1e+05,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__1e+05_msak_mhs_.csv",Inf
"109",9,"s","BW","OT","1",1e+05,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__1e+05_msak_mhs_.csv",80394.0831599193
"110",10,"s","BW","OT","1",1e+05,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__1e+05_msak_mhs_.csv",85970.282918539
"111",1,"s","BW","OT","1",1e+05,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__1e+05_msak_mhs_masked_.csv",75123.9559917265
"112",2,"s","BW","OT","1",1e+05,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__1e+05_msak_mhs_masked_.csv",35338.6194667524
"113",3,"s","BW","OT","1",1e+05,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__1e+05_msak_mhs_masked_.csv",65367.22310838
"114",4,"s","BW","OT","1",1e+05,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__1e+05_msak_mhs_masked_.csv",Inf
